{'algo': 'ppo', 'env': 'MiniGrid-WallGapS6-v0', 'model': 'wallgap-doorkey-redblue-crossing', 'early_stop': False, 'seed': 123456, 'log_interval': 1, 'save_interval': 10, 'procs': 16, 'frames': 1000000, 'epochs': 4, 'batch_size': 256, 'frames_per_proc': 128, 'discount': 0.99, 'lr': 0.0007, 'gae_lambda': 0.99, 'entropy_coef': 0.01, 'value_loss_coef': 0.5, 'max_grad_norm': 0.5, 'optim_eps': 1e-08, 'optim_alpha': 0.99, 'clip_eps': 0.2, 'recurrence': 32, 'text': False, 'use_rim': True, 'meta_learn': True, 'reshape_reward': False, 'date': datetime.date(2023, 11, 17), 'mem': True, 'num_units': 6, 'k': 4, 'input_heads': 1, 'lr_alpha': 0.0007, 'lr_beta': 0.0007, 'inner_recurrence': 8, 'outer_recurrence': 32, 'num_tasks': 2, 'inner_params': ['image_conv', 'i2h', 'h2h', 'actor'], 'outer_params': ['query', 'key', 'value', 'comm', 'critic']}

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): RIMCell(
    (key): Linear(in_features=64, out_features=64, bias=True)
    (value): Linear(in_features=64, out_features=64, bias=True)
    (rnn): GroupLSTMCell(
      (i2h): GroupLinearLayer()
      (h2h): GroupLinearLayer()
    )
    (query): GroupLinearLayer()
    (query_): GroupLinearLayer()
    (key_): GroupLinearLayer()
    (value_): GroupLinearLayer()
    (comm_attention_output): GroupLinearLayer()
    (comm_dropout): Dropout(p=0.1, inplace=False)
    (input_dropout): Dropout(p=0.1, inplace=False)
  )
  (actor): Sequential(
    (0): Linear(in_features=60, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=60, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 004096 | FPS 0410 | D 15 | rR:μσmM 0.03 0.10 0.00 0.48 | F:μσmM 144.6 25.8 83.0 272.0 | H 1.942 | V 0.020 | pL -0.005 | vL 0.003 | ∇ 0.021
U 2 | F 008192 | FPS 0428 | D 25 | rR:μσmM 0.15 0.26 0.00 0.94 | F:μσmM 129.9 40.9 10.0 236.0 | H 1.936 | V 0.057 | pL -0.022 | vL 0.014 | ∇ 0.026
U 3 | F 012288 | FPS 0436 | D 34 | rR:μσmM 0.09 0.18 0.00 0.59 | F:μσmM 140.3 37.6 65.0 256.0 | H 1.938 | V 0.051 | pL -0.013 | vL 0.007 | ∇ 0.031
U 4 | F 016384 | FPS 0437 | D 44 | rR:μσmM 0.19 0.32 0.00 0.93 | F:μσmM 118.8 45.6 11.0 144.0 | H 1.933 | V 0.034 | pL -0.031 | vL 0.016 | ∇ 0.048
U 5 | F 020480 | FPS 0425 | D 53 | rR:μσmM 0.19 0.29 0.00 0.92 | F:μσmM 124.6 49.3 13.0 256.0 | H 1.928 | V 0.036 | pL 0.001 | vL 0.006 | ∇ 0.036
U 6 | F 024576 | FPS 0435 | D 63 | rR:μσmM 0.28 0.32 0.00 0.93 | F:μσmM 110.8 50.4 12.0 256.0 | H 1.926 | V 0.063 | pL -0.020 | vL 0.014 | ∇ 0.052
U 7 | F 028672 | FPS 0428 | D 72 | rR:μσmM 0.22 0.31 0.00 0.97 | F:μσmM 120.2 51.3 5.0 256.0 | H 1.921 | V 0.103 | pL 0.004 | vL 0.013 | ∇ 0.046
U 8 | F 032768 | FPS 0430 | D 82 | rR:μσmM 0.26 0.33 0.00 0.96 | F:μσmM 116.3 56.0 7.0 256.0 | H 1.921 | V 0.073 | pL -0.010 | vL 0.009 | ∇ 0.036
U 9 | F 036864 | FPS 0431 | D 91 | rR:μσmM 0.23 0.32 0.00 0.94 | F:μσmM 118.5 52.7 9.0 256.0 | H 1.912 | V 0.093 | pL -0.012 | vL 0.010 | ∇ 0.064
U 10 | F 040960 | FPS 0432 | D 101 | rR:μσmM 0.29 0.37 0.00 0.95 | F:μσmM 106.3 55.9 8.0 239.0 | H 1.912 | V 0.040 | pL 0.021 | vL 0.002 | ∇ 0.025
Status saved
U 11 | F 045056 | FPS 0431 | D 110 | rR:μσmM 0.35 0.38 0.00 0.98 | F:μσmM 96.2 54.7 3.0 148.0 | H 1.880 | V 0.120 | pL -0.009 | vL 0.018 | ∇ 0.065
U 12 | F 049152 | FPS 0434 | D 120 | rR:μσmM 0.38 0.35 0.00 0.98 | F:μσmM 96.4 55.1 3.0 256.0 | H 1.887 | V 0.210 | pL 0.008 | vL 0.019 | ∇ 0.066
